Min
AnteZizic,32.00,6.70,3.70,1.90,0.20,0.06,0.41,0.34
LarryNanceJr.,24.00,20.80,8.90,7.00,1.00,1.21,0.75,0.42
KevinLove,59.00,28.00,17.60,9.30,1.70,0.73,0.41,1.53
LondonPerrantes,14.00,4.70,0.50,0.30,0.40,0.14,0.07,0.07
JoseCalderon,57.00,16.00,4.50,1.50,2.10,0.47,0.04,0.72
GeorgeHill,24.00,27.90,9.40,2.60,2.80,0.96,0.58,1.17
DerrickRose,16.00,19.20,9.80,1.80,1.60,0.19,0.25,1.75
IsaiahThomas,15.00,27.10,14.70,2.10,4.50,0.60,0.13,2.73
CediOsman,61.00,11.00,3.90,2.00,0.70,0.36,0.05,0.52
JaeCrowder,53.00,25.40,8.60,3.30,1.10,0.77,0.23,0.79
JeffGreen,78.00,23.40,10.80,3.20,1.30,0.53,0.44,0.96
LeBronJames,82.00,36.90,27.50,8.70,9.10,1.41,0.87,4.23
JohnHolland,24.00,7.30,2.30,1.00,0.20,0.29,0.08,0.33
ImanShumpert,14.00,19.70,4.40,2.90,1.20,0.64,0.29,1.21
JRSmith,80.00,28.10,8.30,2.90,1.80,0.85,0.14,1.01
KyleKorver,73.00,21.60,9.20,2.30,1.20,0.42,0.37,0.75
RodneyHood,21.00,25.30,10.80,2.60,1.40,0.71,0.24,0.33
DwyaneWade,46.00,23.20,11.20,3.90,3.50,0.91,0.70,2.00
JordanClarkson,28.00,22.60,12.60,2.00,1.70,0.68,0.11,1.11

Was
JasonSmith,33.00,8.60,3.40,1.60,0.40,0.09,0.39,0.48
IanMahinmi,77.00,14.90,4.80,4.10,0.70,0.49,0.55,1.30
MarcinGortat,82.00,25.30,8.40,7.60,1.80,0.49,0.74,1.21
ChrisMcCullough,19.00,4.70,2.40,1.30,0.20,0.00,0.26,0.11
MikeScott,76.00,18.50,8.80,3.30,1.10,0.30,0.13,1.04
MarkieffMorris,73.00,27.00,11.50,5.60,1.90,0.78,0.51,1.74
TimFrazier,59.00,14.20,3.00,1.90,3.30,0.80,0.12,0.97
RamonSessions,15.00,15.00,5.90,1.30,3.30,0.47,0.07,1.07
JohnWall,41.00,34.40,19.40,3.70,9.60,1.39,1.10,3.85
DevinRobinson,1.00,13.20,2.00,5.00,0.00,1.00,0.00,0.00
KellyOubreJr.,81.00,27.50,11.80,4.50,1.20,0.99,0.43,1.11
OttoPorterJr.,77.00,31.60,14.70,6.40,2.00,1.51,0.53,0.97
JodieMeeks,77.00,14.50,6.30,1.60,0.90,0.38,0.05,0.48
TomasSatoransky,73.00,22.50,7.20,3.20,3.90,0.70,0.21,1.14
BradleyBeal,82.00,36.30,22.60,4.40,4.50,1.18,0.44,2.61

Hou
TarikBlack,51.00,10.50,3.50,3.20,0.30,0.41,0.59,0.69
Nene,52.00,14.60,6.50,3.40,0.90,0.54,0.27,0.73
ClintCapela,74.00,27.50,13.90,10.80,0.90,0.78,1.86,1.39
AaronJackson,1.00,34.50,8.00,3.00,1.00,0.00,0.00,1.00
ZhouQi,18.00,6.90,1.20,1.20,0.10,0.11,0.78,0.56
BrandanWright,1.00,15.30,4.00,2.00,0.00,0.00,1.00,0.00
ChinanuOnuaku,1.00,21.60,4.00,4.00,1.00,0.00,0.00,3.00
LucMbahaMoute,61.00,25.60,7.50,3.00,0.90,1.18,0.41,1.11
RyanAnderson,66.00,26.10,9.30,5.00,0.90,0.36,0.32,0.65
DemetriusJackson,12.00,5.20,0.70,0.90,0.40,0.33,0.08,0.83
BrianteWeber,13.00,9.10,2.00,1.40,1.00,0.77,0.23,0.54
BobbyBrown,20.00,5.70,2.50,0.40,0.60,0.20,0.00,0.45
ChrisPaul,58.00,31.80,18.60,5.40,7.90,1.67,0.22,2.21
JamesHarden,72.00,35.40,30.40,5.40,8.80,1.76,0.69,4.38
TroyWilliams,4.00,4.30,1.30,1.00,0.30,0.25,0.00,0.25
JoeJohnson,23.00,21.90,6.00,2.80,1.70,0.26,0.04,0.78
PJTucker,82.00,27.80,6.10,5.60,0.90,0.94,0.32,0.90
TrevorAriza,67.00,33.90,11.70,4.40,1.60,1.46,0.19,0.79
IsaiahCanaan,1.00,4.00,0.00,1.00,0.00,0.00,0.00,0.00
MarkelBrown,4.00,7.90,1.30,1.30,0.50,0.00,0.00,0.50
TimQuarterman,3.00,4.20,1.30,1.00,0.30,0.00,0.00,0.67
RJHunter,5.00,9.00,3.80,1.00,0.60,0.60,0.00,0.40
GeraldGreen,41.00,22.70,12.10,3.20,0.60,0.59,0.37,0.76
EricGordon,69.00,31.20,18.00,2.40,2.20,0.65,0.38,1.90

San
JoffreyLauvergne,55.00,9.70,4.10,3.10,0.70,0.16,0.05,0.60
PauGasol,77.00,23.50,10.10,8.00,3.10,0.31,1.03,1.40
DavisBertans,77.00,14.10,5.90,2.00,1.00,0.34,0.36,0.47
LaMarcusAldridge,75.00,33.40,23.10,8.50,2.00,0.57,1.20,1.48
DerrickWhite,17.00,8.20,3.20,1.50,0.50,0.24,0.18,0.35
TonyParker,55.00,19.50,7.70,1.70,3.50,0.51,0.02,1.24
DejounteMurray,81.00,21.50,8.10,5.70,2.90,1.20,0.38,1.65
